Date Recorded,Date,Amount,Description,Category,(method of purchase)
09-20-2020,9-24-19,$239.00,refund,other
09-20-2020,1-1-20,$1000.00,rent,rent,card
09-20-2020,1-11-20,$2316.00,work,work
09-20-2020,2-1-20,$1000.00,rent,rent,cash
09-20-2020,2-11-20,$2074.00,work,work
09-20-2020,3-1-20,$1000.00,rent,rent,cash
09-20-2020,3-11-20,$1522.00,work,work
09-20-2020,4-1-20,$1000.00,rent,rent,smiles
09-20-2020,4-11-20,$1828.00,work,work
09-20-2020,5-1-20,$1000.00,rent,rent,cash
09-20-2020,5-11-20,$1521.00,work,work
09-20-2020,6-1-20,$1000.00,rent,rent,check
09-20-2020,6-11-20,$2412.00,work,work
09-20-2020,7-1-20,$1000.00,rent,rent,check
09-20-2020,7-11-20,$2109.00,work,work
09-20-2020,8-1-20,$1000.00,rent,rent,smiles
09-20-2020,8-11-20,$1863.00,work,work
09-20-2020,9-1-20,$1000.00,rent,rent,cash
09-20-2020,9-11-20,$2676.00,work,work
09-20-2020,10-1-20,$1000.00,rent,rent,smiles
09-20-2020,10-11-20,$1651.00,work,work
09-20-2020,11-1-20,$1000.00,rent,rent,cash
09-20-2020,11-11-20,$2725.00,work,work
09-20-2020,12-1-20,$1000.00,rent,rent,smiles
09-20-2020,12-11-20,$2950.00,work,work
09-20-2020,7-23-20,$236.00,gas,misc,cash
09-20-2020,1-10-20,$12.00,blanket,misc,cash
09-20-2020,9-4-20,$78.00,hat,food,cash
09-20-2020,2-10-20,$57.00,blanket,misc,card
09-20-2020,4-14-20,$130.00,blanket,rent,smiles
09-20-2020,5-19-20,$103.00,confetti,rent,card
09-20-2020,10-12-20,$68.00,hat,gifts,cash
09-20-2020,7-6-20,$40.00,gas,food,card
09-20-2020,12-4-20,$25.00,gas,misc,check
09-20-2020,5-27-20,$146.00,blanket,gifts,smiles
09-20-2020,2-24-20,$120.00,groceries,food,check
09-20-2020,2-16-20,$15.00,gas,misc,card
09-20-2020,8-6-20,$204.00,blanket,car,smiles
09-20-2020,3-4-20,$293.00,bills,misc,smiles
09-20-2020,6-23-20,$68.00,gas,rent,cash
09-20-2020,11-9-20,$176.00,bills,misc,smiles
09-20-2020,3-2-20,$21.00,book,car,check
09-20-2020,2-17-20,$13.00,blanket,car,card
09-20-2020,11-9-20,$122.00,blanket,food,cash
09-20-2020,7-15-20,$261.00,antifreeze,food,smiles
09-20-2020,2-6-20,$72.00,antifreeze,misc,cash
09-20-2020,5-2-20,$94.00,gas,car,cash
09-20-2020,5-3-20,$122.00,car,food,card
09-20-2020,10-16-20,$132.00,antifreeze,gifts,smiles
09-20-2020,8-28-20,$260.00,confetti,food,cash
09-20-2020,4-24-20,$271.00,groceries,rent,cash
09-20-2020,8-21-20,$241.00,hat,food,cash
09-20-2020,4-10-20,$105.00,book,rent,cash
09-20-2020,2-5-20,$155.00,antifreeze,gifts,card
09-20-2020,11-13-20,$84.00,confetti,misc,smiles
09-20-2020,10-20-20,$39.00,car,misc,check
09-20-2020,10-14-20,$9.00,groceries,gifts,cash
09-20-2020,10-23-20,$235.00,confetti,car,card
09-20-2020,8-13-20,$147.00,gas,gifts,card
09-20-2020,8-8-20,$300.00,confetti,food,card
09-20-2020,6-26-20,$255.00,blanket,gifts,card
09-20-2020,4-26-20,$68.00,bills,rent,cash
09-20-2020,5-18-20,$232.00,hat,car,smiles
09-20-2020,4-18-20,$87.00,bills,food,cash
09-20-2020,8-1-20,$259.00,confetti,misc,cash
09-20-2020,8-14-20,$162.00,car,food,check
09-20-2020,2-20-20,$277.00,gas,rent,smiles
09-20-2020,11-22-20,$57.00,blanket,misc,smiles
09-20-2020,3-5-20,$88.00,confetti,car,card
09-20-2020,3-12-20,$139.00,car,food,card
09-20-2020,4-24-20,$119.00,groceries,misc,check
09-20-2020,2-2-20,$137.00,book,food,card
09-20-2020,8-18-20,$125.00,groceries,misc,smiles
09-20-2020,12-18-20,$49.00,blanket,rent,smiles
09-20-2020,9-1-20,$132.00,groceries,rent,cash
09-20-2020,6-5-20,$247.00,bills,car,cash
09-20-2020,11-22-20,$47.00,hat,food,card
09-20-2020,9-14-20,$131.00,hat,car,card
09-20-2020,6-3-20,$212.00,book,food,card
09-20-2020,6-13-20,$141.00,blanket,gifts,check
09-20-2020,3-8-20,$120.00,groceries,rent,check
09-20-2020,11-2-20,$74.00,groceries,misc,cash
09-20-2020,12-18-20,$150.00,gas,food,smiles
09-20-2020,7-5-20,$157.00,book,car,check
09-20-2020,12-4-20,$89.00,car,gifts,smiles
09-20-2020,8-19-20,$138.00,confetti,rent,smiles
09-20-2020,7-15-20,$259.00,hat,misc,check
09-20-2020,11-28-20,$177.00,gas,car,smiles
09-20-2020,10-4-20,$148.00,hat,car,card
09-20-2020,7-1-20,$53.00,bills,rent,check
09-20-2020,12-3-20,$141.00,book,gifts,card
09-20-2020,6-23-20,$35.00,gas,misc,smiles
09-20-2020,8-10-20,$187.00,blanket,misc,smiles
09-20-2020,4-15-20,$97.00,hat,misc,card
09-20-2020,10-16-20,$119.00,groceries,food,check
09-20-2020,8-3-20,$259.00,antifreeze,food,check
09-20-2020,4-5-20,$45.00,antifreeze,gifts,smiles
09-20-2020,3-10-20,$155.00,book,misc,card
09-20-2020,5-16-20,$206.00,groceries,misc,cash
09-20-2020,6-14-20,$278.00,groceries,misc,check
09-20-2020,11-5-20,$87.00,car,misc,check
09-20-2020,6-11-20,$74.00,gas,misc,smiles
09-20-2020,5-4-20,$8.00,bills,rent,smiles
09-20-2020,8-18-20,$283.00,blanket,gifts,smiles
09-20-2020,2-1-20,$103.00,bills,misc,card
09-20-2020,2-10-20,$15.00,antifreeze,misc,card
09-20-2020,5-4-20,$13.00,confetti,misc,cash
09-20-2020,12-23-20,$282.00,bills,food,check
09-20-2020,6-24-20,$262.00,book,car,card
09-20-2020,12-13-20,$114.00,antifreeze,misc,card
09-20-2020,9-20-20,$152.00,hat,gifts,card
09-20-2020,8-28-20,$138.00,antifreeze,car,smiles
09-20-2020,6-7-20,$19.00,book,food,check
09-20-2020,3-18-20,$127.00,car,gifts,card
09-20-2020,4-27-20,$297.00,car,rent,smiles
09-20-2020,1-24-20,$232.00,gift,work
09-20-2020,6-1-20,$130.00,gift,work
09-20-2020,5-7-20,$285.00,gift,other
09-20-2020,12-4-20,$126.00,work,other
09-20-2020,10-18-20,$460.00,gift,other
09-20-2020,4-22-20,$398.00,gift,work
09-20-2020,12-4-20,$410.00,gift,other
09-20-2020,6-3-20,$162.00,refund,work
09-20-2020,6-5-20,$495.00,refund,work
09-20-2020,10-4-20,$204.00,work,other
09-20-2020,6-15-20,$383.00,gift,other
09-20-2020,12-25-20,$449.00,refund,other
09-20-2020,4-21-20,$352.00,gift,work
09-20-2020,12-15-20,$277.00,gift,work
09-20-2020,5-9-20,$452.00,gift,other
09-20-2020,2-13-20,$269.00,gift,work
09-20-2020,1-2-20,$385.00,gift,other
09-20-2020,8-19-20,$281.00,gift,other
09-20-2020,1-26-20,$428.00,work,other
09-20-2020,10-12-20,$484.00,work,work
